"System,Material,Surface,Molecule Group,Molecule,State,Dissociation,True_eV,Prediction_eV,Error_eV,Abs_error_eV",run
"C3H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propylene,relaxed,tensor([False]),-0.2600111961364746,-0.24204219969959695,0.01796899643687766,0.01796899643687766",1_4
"C2H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethene,relaxed,tensor([False]),-1.1271307468414307,-1.111025485548618,0.016105261292812756,0.016105261292812756",1_4
"C2H7Ir48N,Ir,110,amines,Ethanamine,relaxed,tensor([False]),-1.4377164840698242,-1.4494825807854839,-0.011766096715659646,0.011766096715659646",1_4
"CH3NO81Ru40,RuO2,110,amides,Formamide,relaxed,tensor([False]),-1.3570019006729126,-1.4817682300025847,-0.12476632932967213,0.12476632932967213",1_4
"CH4Ir48S,Ir,110,thiols_thials_thioketones_thioethers,Methanethiol,relaxed,tensor([False]),-1.3168821334838867,-0.8146659392792088,0.5022161942046779,0.5022161942046779",1_4
"C2H5Ir40NO80,IrO2,110,imines,Ethanimine,relaxed,tensor([False]),-0.7986303567886353,-0.7833062785124945,0.015324078276140796,0.015324078276140796",1_4
"C2H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethene,relaxed,tensor([False]),-0.3849923014640808,-0.42455853422953993,-0.03956623276545912,0.03956623276545912",1_4
"CH3NO81Ru40,RuO2,110,oximes,Formaldoxime,relaxed,tensor([False]),-0.2766554355621338,-0.23988117703453327,0.03677425852760052,0.03677425852760052",1_4
"C2H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethane,relaxed,tensor([False]),-0.6709398031234741,-0.62669327369548,0.04424652942799412,0.04424652942799412",1_4
"CH2Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,relaxed,tensor([False]),-1.5168205499649048,-1.695051879259406,-0.17823132929450125,0.17823132929450125",1_4
"C2H6N2Ru48,Ru,110,amidines,Acetimidamide,relaxed,tensor([False]),-1.5792005062103271,-1.2909649092980469,0.2882355969122803,0.2882355969122803",1_4
"C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,relaxed,tensor([True]),-3.193857431411743,-2.545248122534609,0.6486093088771341,0.6486093088771341",1_4
"C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,relaxed,tensor([False]),-2.404695510864258,-2.379607584822523,0.02508792604173493,0.02508792604173493",1_4
"C3H9NO80Ru40,RuO2,110,amines,Trimethylamine,relaxed,tensor([False]),-1.6991528272628784,-1.7779894299483257,-0.07883660268544723,0.07883660268544723",1_4
"CH4N2O80Ru40,RuO2,110,amidines,Formimidamide,relaxed,tensor([False]),-1.5110210180282593,-1.7694361620654409,-0.2584151440371816,0.2584151440371816",1_4
"CH3NO82Ru40,RuO2,110,carbamate-esters,Carbamic-acid,relaxed,tensor([False]),-0.5261513590812683,-0.3148924566823297,0.21125890239893863,0.21125890239893863",1_4
"C2H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethane,relaxed,tensor([False]),-0.9778366088867188,-0.9033652561383931,0.07447135274832561,0.07447135274832561",1_4
"CH2Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethial,relaxed,tensor([False]),-2.636058807373047,-1.924237820473067,0.7118209868999799,0.7118209868999799",1_4
"C3H8Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,relaxed,tensor([False]),-1.0674192905426025,-1.3229505358025528,-0.2555312452599503,0.2555312452599503",1_4
"C2H5Ir40NO81,IrO2,110,amides,Acetamide,relaxed,tensor([False]),-2.115259885787964,-1.8024937406691777,0.3127661451187862,0.3127661451187862",1_4
"C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,relaxed,tensor([False]),-1.630557894706726,-1.6964205288501244,-0.06586263414339832,0.06586263414339832",1_4
"C2H6Ru48S,Ru,110,thiols_thials_thioketones_thioethers,Ethanethiol,relaxed,tensor([False]),-1.2489324808120728,-1.0456182721963003,0.20331420861577243,0.20331420861577243",1_4
"C2H4Ir48S,Ir,110,thiols_thials_thioketones_thioethers,Ethanethial,relaxed,tensor([False]),-3.133632183074951,-1.513967559048579,1.6196646240263721,1.6196646240263721",1_4
"C3H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,relaxed,tensor([False]),-0.7456895709037781,-0.5389971746172506,0.20669239628652747,0.20669239628652747",1_4
"C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,relaxed,tensor([False]),-1.450853705406189,-1.907715096488669,-0.45686139108248014,0.45686139108248014",1_4
"CH4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Methane,relaxed,tensor([False]),-0.114272341132164,-0.19598917178292652,-0.08171683065076252,0.08171683065076252",1_4
"CH2Ru48S,Ru,110,thiols_thials_thioketones_thioethers,Methanethial,relaxed,tensor([False]),-3.2076404094696045,-1.507896447415984,1.6997439620536205,1.6997439620536205",1_4
"C2H4Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,relaxed,tensor([True]),-2.42152738571167,-2.2848367852760276,0.1366906004356423,0.1366906004356423",1_4
"C2H5Ir40NO81,IrO2,110,amides,Acetamide,relaxed,tensor([False]),-2.6905152797698975,-2.9941965852277264,-0.3036813054578289,0.3036813054578289",1_4
"CH3Ir40NO82,IrO2,110,carbamate-esters,Carbamic-acid,relaxed,tensor([False]),-0.4890883266925812,-0.29781903041428137,0.1912692962782998,0.1912692962782998",1_4
"CH2Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Formic-acid,relaxed,tensor([False]),-1.5694236755371094,-1.6486644168730802,-0.07924074133597081,0.07924074133597081",1_4
"C3H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,relaxed,tensor([False]),-0.782765805721283,-0.5389974029586142,0.24376840276266876,0.24376840276266876",1_4
"C3H8ORu48,Ru,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,relaxed,tensor([False]),-0.7135970592498779,-0.7935334027612129,-0.07993634351133494,0.07993634351133494",1_4
"C3H7NRu48,Ru,110,imines,Propan-2-imine,relaxed,tensor([False]),-1.4004552364349365,-1.309223898197216,0.09123133823772056,0.09123133823772056",1_4
"C2H5NO80Ru40,RuO2,110,imines,Ethanimine,relaxed,tensor([False]),-1.9023605585098267,-2.009345327682901,-0.10698476917307431,0.10698476917307431",1_4
"C3H8O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,relaxed,tensor([False]),-1.7734941244125366,-1.7976338657997726,-0.024139741387235958,0.024139741387235958",1_4
"C2H5NO81Ru40,RuO2,110,amides,Acetamide,relaxed,tensor([False]),-1.9644678831100464,-2.483459977081921,-0.5189920939718746,0.5189920939718746",1_4
"C2H5NO80Ru40,RuO2,110,imines,N-methylmethanimine,relaxed,tensor([False]),-1.9221456050872803,-1.8116627310389966,0.11048287404828372,0.11048287404828372",1_4
"C3H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,relaxed,tensor([False]),-0.260150671005249,-0.2810037440577773,-0.02085307305252826,0.02085307305252826",1_4
"C3H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,relaxed,tensor([False]),-0.3210182785987854,-1.136724906423856,-0.8157066278250706,0.8157066278250706",1_4
"CH2Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethial,relaxed,tensor([False]),-3.2335870265960693,-2.280133181527333,0.9534538450687364,0.9534538450687364",1_4
"C3H8Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,relaxed,tensor([False]),-0.5190905332565308,-0.8868530358567206,-0.36776250260018983,0.36776250260018983",1_4
"C2H4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethene,relaxed,tensor([False]),-1.1976959705352783,-1.75294691863348,-0.5552509480982017,0.5552509480982017",1_4
"CH2ORu48,Ru,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,relaxed,tensor([False]),-1.2672572135925293,-1.7945002516391462,-0.5272430380466169,0.5272430380466169",1_4
"C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,relaxed,tensor([False]),-0.1829562783241272,-0.28943307966557086,-0.10647680134144366,0.10647680134144366",1_4
"C2H6N2O80Ru40,RuO2,110,amidines,Acetimidamide,relaxed,tensor([False]),-2.4958014488220215,-2.9242324489101534,-0.42843100008813195,0.42843100008813195",1_4
"C2H6Ir40N2O80,IrO2,110,amidines,Acetimidamide,relaxed,tensor([False]),-3.286905288696289,-2.530451488002967,0.7564538006933219,0.7564538006933219",1_4
