Epoch,Train_MAE_eV,Val_MAE_eV,Test_MAE_eV,Train_std_eV,Val_std_eV,Test_std_eV,Learning_Rate
1,0.8136076800070682,0.7982628165172929,0.7901281789571297,0.9969071279783859,0.8945260835191422,0.8911214154282839,0.0001
2,0.7955868846375059,0.8161094449147457,0.809794602273893,0.8807200449083603,1.0834330782983885,1.074025063913444,0.0001
3,0.8119917004669389,0.7710810589189289,0.7655551493668756,1.048371535056449,0.8402953146986408,0.8396759813171016,0.0001
4,0.7882837643017021,0.755941523223364,0.7501659994365788,0.8651201149290934,0.9278584758836236,0.9269598814571457,0.0001
5,0.772823990884049,0.7496351113840312,0.7418891001148384,0.8927787746767196,0.7357187134695927,0.7470094153378707,0.0001
6,0.849716463860162,0.7421122518908075,0.7400284935446346,1.025762831418745,0.9191657304342804,0.90076979556232,0.0001
7,0.7617853502612296,0.7244557092169753,0.7273465004287848,0.856246751763523,0.8532377948333455,0.8492837794187333,0.0001
8,0.7418413780544734,0.6972964791690602,0.7134845797755137,0.8530897229839439,0.8625891009036539,0.8606652948744575,0.0001
9,0.7195146894516412,0.6787601398820636,0.6973873026230756,0.8213571845673817,0.8186453678028571,0.8145065987680181,0.0001
10,0.6935729317065457,0.6867711764423787,0.6833858329708836,0.8133747108839228,0.7650077396996476,0.7583854112666462,0.0001
11,0.6650493432048058,0.6703075681413923,0.6542345175222188,0.7842049332174271,0.7851624120067581,0.7771944846606182,0.0001
12,0.6500606193815417,0.6145356322536949,0.6035202210690794,0.7727852690262418,0.7696145800589692,0.7591540304830059,0.0001
13,0.6042489195390708,0.5892607544650551,0.5557876675068831,0.7186906213315963,0.6645389981545261,0.6614039184271148,0.0001
14,0.60056169235816,0.5758612857145422,0.5467981610979352,0.7351878519897229,0.7927295599394802,0.7641785523595969,0.0001
15,0.5606338123601795,0.5489331934632373,0.5280180858964679,0.7049260551939173,0.7217480072212977,0.6962997920660805,0.0001
16,0.5084114511049651,0.5160144797894133,0.47533014842442106,0.7117889365983125,0.5846747240451219,0.5642795045778946,0.0001
17,0.47729169373814356,0.551023078565838,0.49795654841831755,0.5809366682085683,0.5757732285426568,0.5637872631291095,0.0001
18,0.4843822191361859,0.4797337556085667,0.43434670792908225,0.5986810883307524,0.6215626489971856,0.5911461841215904,0.0001
19,0.44260024977799817,0.4600858648284143,0.45590805406330015,0.5729288698489003,0.5223881631851526,0.4993419033450569,0.0001
20,0.4576304470325789,0.44881065953679444,0.41474576757735565,0.5786637193400094,0.6095436706367909,0.5861857736734031,0.0001
21,0.4534650471508259,0.4510663256925695,0.41336879409661814,0.6074716653305862,0.496302145462068,0.4757492759537979,0.0001
22,0.4366660391074345,0.48798709757187786,0.47596113220984193,0.5632736922245444,0.7025068783811353,0.6724210563286191,0.0001
23,0.42379897556218077,0.4639295249426064,0.4129070153757304,0.581095090971524,0.4703874144854175,0.4528402323256077,0.0001
24,0.42994881404377266,0.4308437499679437,0.41071946681046684,0.5312973127860081,0.5572145718405555,0.5151126411956769,0.0001
25,0.3854008857568091,0.396263803754534,0.3927504555517886,0.5492568710908516,0.45549984533438714,0.4275284691401031,0.0001
26,0.3859676152778153,0.439662680906408,0.42341982416745994,0.4834729476611564,0.5003579594806968,0.4770286135248889,0.0001
27,0.3927354707695102,0.37437951464612945,0.3648307904475877,0.5063902983962706,0.5095556683094704,0.4779158620426497,0.0001
28,0.43063630656094376,0.4008789763731115,0.3776759580403817,0.5316611267110716,0.5908755227312261,0.56799819901385,0.0001
29,0.36105455470743414,0.41515837997949423,0.3972762452454126,0.5071401633610746,0.43015655522852125,0.4007361874159425,0.0001
30,0.3608868309299842,0.3737412300430426,0.3510614583472244,0.4936387648537781,0.4753931352321015,0.4471707788138248,0.0001
31,0.3579040195579414,0.3741206862345463,0.36049527881526144,0.46913139049524805,0.46961001420345766,0.44169131668315637,0.0001
32,0.38923453603679964,0.3736165992352141,0.37171077728271484,0.48446451038114074,0.5285046636414955,0.49405503796661526,0.0001
