Epoch,Train_MAE_eV,Val_MAE_eV,Test_MAE_eV,Train_std_eV,Val_std_eV,Test_std_eV,Learning_Rate
1,0.8722303751410904,0.8725715824681469,0.8631804947160248,0.8781306021165669,0.9679345062340095,0.9734973964809913,1e-05
2,0.8336036316937586,0.849704090346638,0.8453637066050472,0.9377211978820058,0.9130700821086253,0.9160546455466394,1e-05
3,0.8207862176140487,0.8501467297219822,0.8323504904396514,0.8911520903713863,0.8906874363775488,0.8922873698350323,1e-05
4,0.8194182841214407,0.8355594374175764,0.8339958313183907,0.8759518415129857,0.8935737892604195,0.8947806209317395,1e-05
5,0.8135687589579199,0.8350845646654439,0.8294346312172393,0.8877846319803646,0.896914011118186,0.8980960274950635,1e-05
6,0.8133195450906451,0.835088693178617,0.8287651273939345,0.8798924001267652,0.9115852721705366,0.9129639527429358,1e-05
7,0.8107418936328888,0.831018500857883,0.8264162194015633,0.8979778207759329,0.8860254859339479,0.8866809220099585,1e-05
8,0.8092820710029475,0.8243751770410782,0.8266053362789317,0.8800047563198939,0.8986426355472642,0.8994145794924842,1e-05
9,0.8071621626051892,0.8295805637653058,0.8225401364839994,0.9020794487653017,0.884117934291346,0.8845169607651086,1e-05
10,0.8044262937315991,0.8222187034085265,0.822944836738782,0.8811522284994657,0.9055536929894842,0.9065520193302617,1e-05
11,0.8023750239520986,0.8278173585223336,0.8175374972514617,0.8812733893222182,0.873515808835248,0.8736520519294915,1e-05
12,0.8034096000352471,0.8141274717119005,0.8208093520922538,0.888953345964084,0.8775588519095506,0.8776942380253374,1e-05
13,0.798948204695966,0.8109886951935596,0.8225510792854505,0.8870412938112221,0.8667761223638143,0.8666670388945029,1e-05
14,0.7984113603957119,0.8062216033283461,0.8166571315537151,0.8787892820757738,0.862767675674608,0.8626410076665816,1e-05
15,0.7934443017593834,0.8031651321639363,0.8167769358708308,0.898356838725442,0.8539534998052636,0.8535278493181044,1e-05
16,0.7943053268297944,0.797219174539941,0.8227681828360273,0.8700847046868324,0.8771139482477393,0.877054915616364,1e-05
17,0.786752774146805,0.8075717494019077,0.8079284725026188,0.8775228601877365,0.913517964594591,0.9145155864001951,1e-05
18,0.7884073842718502,0.8006064993703467,0.8103735548818213,0.8931083579431743,0.8795346981430009,0.8796597737367319,1e-05
19,0.788552740830702,0.8037799443954077,0.800084358606583,0.8865424774149685,0.8901583757832645,0.8907365189946325,1e-05
20,0.7832113714462424,0.7889589896568885,0.8089902258326864,0.872811516747034,0.9083311189664155,0.9090866979191855,1e-05
21,0.7842721179896861,0.7988394509013902,0.7991905558822502,0.8909912421072257,0.8937563833529162,0.8942215866919181,1e-05
22,0.776573763434921,0.7806231690268232,0.806875834098229,0.8776171923660187,0.8746021979526181,0.874542403104827,1e-05
23,0.7760976214320018,0.786227360749856,0.7990859777499468,0.8874330881558943,0.8708093019456886,0.870390579387735,1e-05
24,0.7768731457343312,0.7777725937020066,0.7998510120261428,0.8828988398625919,0.8705242000454995,0.8703052605902392,1e-05
25,0.7746827759223913,0.783197378500914,0.7912482033427964,0.8661710859599191,0.8977983016429945,0.8982117813880345,1e-05
26,0.7715041679786083,0.7771245353242271,0.7951722369234786,0.893176125162665,0.8587616927984644,0.8578675655618044,1e-05
27,0.7716116267595958,0.7765395783970499,0.7920108289800138,0.880431968320683,0.884240572852591,0.8841178395293051,1e-05
28,0.768786328269976,0.7715448619972947,0.7907013974638066,0.8640339698398944,0.887454822997327,0.8873878921558493,1e-05
29,0.7641564443053185,0.776526911645873,0.7824281464275132,0.8799455959657678,0.8953534080277538,0.8955477526133186,1e-05
30,0.7633664248441426,0.7753159286629441,0.788116349114312,0.8838224401540078,0.8707426100693575,0.8698722804652229,1e-05
31,0.7642957336901692,0.7626422124031262,0.7882590090107714,0.8620336681330842,0.8903875804396045,0.8900764560589739,1e-05
32,0.7620930626666336,0.7586610521006788,0.7942344673678406,0.872614082094919,0.9011397883680021,0.9008484651338253,1e-05
33,0.7606930719652818,0.7580333306239202,0.7900699917067829,0.9067567382992578,0.8238865466186186,0.8216358039447723,1e-05
34,0.7570384524880562,0.7694511821127346,0.7790837695455959,0.8595599421368857,0.8863554350000025,0.8855329169655772,1e-05
35,0.7567382575011432,0.7575374607347015,0.7865487917875632,0.86831880993507,0.8903712154471546,0.8896342222146619,1e-05
36,0.758158387196225,0.7544689259977422,0.7843341460594764,0.880785639484303,0.8506354193043515,0.848778116263945,1e-05
37,0.7554111655897998,0.7604612122234117,0.7764651754982451,0.8597434330353633,0.8896500927964638,0.8888134964188359,1e-05
38,0.7534983912197171,0.7592378518520257,0.7761287526187733,0.8790344259820614,0.8720642356529735,0.8704743593320888,1e-05
39,0.7520664627921948,0.7507633307041266,0.7798476402576153,0.8708613084524102,0.8492658276476986,0.8471387762177688,1e-05
40,0.7467916999638954,0.7436993876074114,0.790866955732688,0.8640698393324093,0.8675248908099077,0.8657314038238961,1e-05
41,0.7551783265001857,0.7429223488538693,0.7769816451602511,0.86229992200068,0.8804640583184664,0.8789942619837231,1e-05
42,0.7481709432717475,0.7435239767416929,0.7791896946409829,0.876285181412068,0.8590954694269525,0.8568957581721608,1e-05
43,0.7485481748194499,0.7440753146114513,0.7723985879849165,0.8582382794724709,0.8779557688978814,0.8762339178946814,1e-05
44,0.7468373666840782,0.748110799707918,0.7668086646968483,0.8648573173855181,0.8650997736205883,0.8630021581646159,1e-05
45,0.7453746285763466,0.7546139109847892,0.765094657229562,0.8721171183652324,0.8846256981469662,0.882663538848289,1e-05
46,0.7443880688656516,0.7434311381772033,0.7678787871303722,0.8740408001552264,0.8662130669173889,0.8640042131856973,1e-05
47,0.7418895548705983,0.744296681167733,0.7665540479187273,0.8588101230681652,0.873777558072495,0.8715413222310798,1e-05
48,0.7424125196219307,0.7386810392396063,0.7685121246892163,0.8569913703246761,0.8609423898437504,0.8583519602741275,7e-06
49,0.7406256888109387,0.7379822853284005,0.7673770382873013,0.874221663810455,0.8481346655260604,0.8451925348819138,7e-06
50,0.7406066974335914,0.7409649710369925,0.7683945843297192,0.8591919179574807,0.871121682953383,0.8685285135247524,7e-06
51,0.7409442585352517,0.7413088928939949,0.7640734615488949,0.8598733408064972,0.8572744437678455,0.8544576730035525,7e-06
52,0.7409866940758452,0.7311701387421697,0.7701825525006677,0.8575905616960213,0.8677704274979878,0.8649945300739768,7e-06
53,0.7397152298858796,0.7328216438619499,0.7691443190615401,0.8596182235387486,0.8753483789829867,0.8728078581082387,7e-06
54,0.738513008422182,0.7337277913704897,0.7660634232382489,0.8602230141106826,0.8655297378406516,0.8627348179669574,7e-06
55,0.7389677803831919,0.7302135891384549,0.764254955145029,0.8542602074507718,0.8591939560280409,0.8562258173237635,7e-06
56,0.7365814697946435,0.7312185866201025,0.7646579294123201,0.8528033083671276,0.8871657081307114,0.8847244607939999,7e-06
57,0.7348294063524301,0.7268534440260667,0.7699709712949574,0.8650830762743139,0.8584012097548049,0.8553970861955279,7e-06
58,0.7352355592063388,0.7278988809667082,0.766375339948214,0.8595504357188143,0.8672134821431544,0.8642381003228832,7e-06
59,0.7357051828855409,0.7307116638900887,0.7622431160038353,0.8636326113959087,0.8572127516191925,0.8541148053992735,7e-06
60,0.7353225095589733,0.7249450092641716,0.7652964184426854,0.8422294343594762,0.8833036976352754,0.8806871055021941,7e-06
61,0.73169984291491,0.7311671982463609,0.7568974719088302,0.8572017187082454,0.8808864827761471,0.8780445671103129,7e-06
62,0.7333889512296032,0.7264304792779124,0.7590375476413302,0.8605404367336241,0.8699784613320214,0.8668831416686701,7e-06
63,0.7323930413208679,0.7235470347934299,0.7642044858035878,0.8555228429772628,0.8879397698015404,0.8851444914801264,7e-06
64,0.7299094298584344,0.7263509941916181,0.756573756535848,0.8638149239490085,0.8472438632010085,0.8436187413274008,7e-06
65,0.7286013935291544,0.7233396941780025,0.7609625861176059,0.8389281706874118,0.8501144176036302,0.8465595968040843,7e-06
66,0.7296838901926933,0.7250738347697462,0.7546565879104484,0.8629144799296387,0.8520028005333988,0.8483624034308113,7e-06
67,0.7263559803617555,0.7177618059337648,0.7656961119073069,0.8420347560467237,0.8624992003925034,0.8590164626053965,7e-06
68,0.7297844426749409,0.7293376535431951,0.7498121730282775,0.8613018401185005,0.8526978368422727,0.8490417792824086,7e-06
69,0.7309635562776352,0.7217820974496695,0.7539145600082527,0.8528421196029983,0.8462205835428157,0.8423183609813396,7e-06
70,0.7258075120894915,0.7253636580247146,0.7499183609954312,0.8508088777867628,0.862933327962232,0.8594034213392583,7e-06
71,0.7249040648687753,0.7198907615792038,0.7532607266026684,0.8431886747918007,0.8533027956511634,0.8495844402896027,7e-06
72,0.7273176933623313,0.7177938905536619,0.7549173893072666,0.8591279508331655,0.8659856503795592,0.8624410721206051,7e-06
73,0.7240169194658153,0.7149734456315,0.7593351714631431,0.8385681545871422,0.8551780890590254,0.8514334537114772,7e-06
74,0.7253238747868138,0.7276101010477442,0.7458752037113549,0.8598394352229455,0.8598654027688705,0.8560278779607785,7e-06
75,0.7240906106862234,0.7216388241857545,0.7488132664281079,0.8616325816149549,0.8389415609757961,0.8346327680580862,7e-06
76,0.7241939716956245,0.7145297140137762,0.7523060741587582,0.8355843286450114,0.8564265707073535,0.8525211385967539,7e-06
77,0.7222818587714537,0.7195495010441185,0.7481870732755742,0.8458924912634171,0.8528916107955481,0.8489257761240692,7e-06
78,0.7242168423081847,0.711392879486084,0.7538260353936089,0.8542559115715855,0.8476542879002525,0.8436158098842669,7e-06
79,0.7227076102007869,0.7127977293780726,0.753036223925077,0.848456850971578,0.8488437286770278,0.8447504534808851,7e-06
80,0.7217370017569648,0.7151024973290598,0.7485237610645783,0.8372863949821125,0.8569612469825818,0.8529006564503627,7e-06
81,0.722645229310634,0.712766086953318,0.7532161993858142,0.8441883470282312,0.8469984501155904,0.8428068881426626,7e-06
82,0.7173370638929489,0.7206581596635345,0.7422327057928102,0.8458811211918753,0.8397359079035052,0.8353570219762145,7e-06
83,0.7210930684536873,0.7071338800283579,0.755905809565487,0.8350639847851244,0.8667621635031848,0.8628248789865856,7e-06
84,0.7185395761662428,0.7170650245796921,0.7429992602421687,0.8513227091597247,0.8484175878993094,0.844287046500571,7e-06
85,0.7197294893798596,0.7123106769007496,0.7469630750835451,0.8511326165057329,0.8474196055859411,0.843171919764284,7e-06
86,0.7209937209257238,0.719170827132005,0.7388187921964205,0.8343711520370416,0.8417492963854962,0.8373087656905732,7e-06
87,0.7188888625254279,0.7160799747858292,0.7419638266930213,0.8470487845529675,0.8455614723476547,0.8411565763001888,7e-06
88,0.7192937735159243,0.7137378831195016,0.7410233509846222,0.8359314804548917,0.8458356106917236,0.8414388044384862,7e-06
89,0.717587270873279,0.7141398629571638,0.7398305978530493,0.835485762388874,0.8495200742033616,0.8451370311065388,7e-06
90,0.7176404188162503,0.7113682795793582,0.74166839550703,0.8434291080633028,0.8429944078012402,0.8384294463064732,4.9e-06
91,0.7170893670766799,0.7064938708248302,0.7478893047724015,0.8476757645494579,0.8512510553231954,0.8468270008631181,4.9e-06
92,0.7160803036129921,0.7084421051873101,0.7419024084368323,0.8304976204001436,0.8397891682905647,0.8352407468920187,4.9e-06
93,0.7159736711673014,0.710043764521933,0.7408251314081697,0.8550303673975701,0.8443547786993073,0.8398640694436975,4.9e-06
